model,best_params,rank_average_precision,mean_cv_average_precision,std_cv_average_precision,mean_cv_roc_auc,std_cv_roc_auc,mean_cv_f1,std_cv_f1,mean_cv_precision,std_cv_precision,mean_cv_recall,std_cv_recall,mean_cv_accuracy,std_cv_accuracy,mean_cv_balanced_accuracy,std_cv_balanced_accuracy
random_forest,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}",1,0.983463030900662,0.006874451265544242,0.9976065068497462,0.0012417465362839508,0.9169863325378284,0.02617636300354664,0.9743401786880048,0.024984852211410027,0.8672248803827751,0.04128440833705349,0.985,0.004472135954999553,0.9323680089923474,0.02060393616176257
gradient_boosting,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 200}",1,0.9818947752248988,0.007083922366503955,0.9978235595000033,0.0008849086940822046,0.9158018813327619,0.020324789868813906,0.9550620953434252,0.019413454639286308,0.8801777170198222,0.03019271140976968,0.9845,0.003674234614174769,0.9378764302452375,0.0152940738826881
decision_tree,"{""model__ccp_alpha"": 0.0, ""model__class_weight"": null, ""model__max_depth"": 5, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 25}",1,0.966339853982136,0.008714367893162826,0.996155253341103,0.0009313641331573847,0.9131426689242004,0.010205389778175108,0.9399282764862266,0.03843243323054911,0.8906015037593985,0.03824154887075717,0.98375,0.0019364916731037102,0.942120326549392,0.0172616989603278
logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": null}",1,0.8536819326361804,0.041524965159335854,0.9609956734897613,0.010865348545641116,0.7689355621729723,0.040362354007540596,0.878097356851528,0.05136285034513387,0.6848598769651402,0.041644748402854787,0.9605,0.007008922884438091,0.8373129459025437,0.021996280895639847
dummy_most_frequent,{},1,0.096,0.0005000000000000004,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9040000000000001,0.0004999999999999894,0.5,0.0
